Word with PA,Tune,1a `Who ran quickly?',2 `Did Kim run quickly?',3a `What did Kim do quickly?',3b `What did Kim do?',3d `What happened?',4a `How did Kim run?',1a' `Who didn't run quickly?',3a' `What didn't Kim do quickly?',3b' `What didn't Kim do?',4a' `How didn't Kim run?'
quickly,L+H* L-H%,"no,B3","no,B3","no,B3",YES,"no,B3",YES,"no,B3","no,B3",YES,YES
,L+H* H-L%,"no,B3","no,B3","no,B3",YES,"no,B3",YES,"no,B3","no,B3",YES,YES
,L+H* L-L%,"no,B3","no,B3","no,B3","no,D2b","no,B3","no,D2b","no,B3","no,B3",YES,YES
,H* L-H%,"no,B3","no,B3","no,B3",YES,"no,B3",YES,"no,B3","no,B3",YES,YES
,H* H-L%,"no,B3","no,B3","no,B3","no,D3a","no,B3","no,D3a","no,B3","no,B3",YES,YES
,H* L-L%,"no,B3","no,B3","no,B3","no,D2a","no,B3","no,D2a","no,B3","no,B3",YES,YES
,L* L-H%,"no,B3","no,B3","no,B3",YES*,"no,B3",YES*,"no,B3","no,B3",YES*,YES*
,L* H-L%,"no,B3","no,B3","no,B3","no,D3c","no,B3","no,D3c","no,B3","no,B3",YES,YES
,L* L-L%,"no,B3","no,B3","no,B3","no,D2c","no,B3","no,D2c","no,B3","no,B3",YES,YES
run,L+H* L-H%,"no,B3","no,B3",YES,YES,"no,B3","no,B3","no,B3",YES,YES,"no,B3"
,L+H* H-L%,"no,B3","no,B3",YES,YES,"no,B3","no,B3","no,B3",YES,YES,"no,B3"
,L+H* L-L%,"no,B3","no,B3","no,D2b","no,D2b","no,B3","no,B3","no,B3",YES,YES,"no,B3"
,H* L-H%,"no,B3","no,B3",YES,YES,"no,B3","no,B3","no,B3",YES,YES,"no,B3"
,H* H-L%,"no,B3","no,B3","no,D3a","no,D3a","no,B3","no,B3","no,B3",YES,YES,"no,B3"
,H* L-L%,"no,B3","no,B3","no,D2a","no,D2a","no,B3","no,B3","no,B3",YES,YES,"no,B3"
,L* L-H%,"no,B3","no,B3",YES*,YES*,"no,B3","no,B3","no,B3",YES*,YES*,"no,B3"
,L* H-L%,"no,B3","no,B3","no,D3c","no,D3c","no,B3","no,B3","no,B3",YES,YES,"no,B3"
,L* L-L%,"no,B3","no,B3","no,D2c","no,D2c","no,B3","no,B3","no,B3",YES,YES,"no,B3"
didn't,L+H* L-H%,"no,B3","no,D1b","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,L+H* H-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,L+H* L-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,H* L-H%,"no,B3","no,D1a","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,H* H-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,H* L-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,L* L-H%,"no,B3",YES*,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,L* H-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
,L* L-L%,"no,B3",YES,"no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3","no,B3"
Kim,L+H* L-H%,YES,"no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,L+H* H-L%,YES,"no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,L+H* L-L%,"no,D2b","no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,H* L-H%,YES,"no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,H* H-L%,"no,D3a","no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,H* L-L%,"no,D2a","no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,L* L-H%,YES*,"no,B3","no,B3","no,B3","no,B3","no,B3",YES*,"no,B3","no,B3","no,B3"
,L* H-L%,"no,D3c","no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
,L* L-L%,"no,D2c","no,B3","no,B3","no,B3","no,B3","no,B3",YES,"no,B3","no,B3","no,B3"
